id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p5-n12-0016,ddgp,2,12,5,1-9;2-5;3-8;4-12;8-12,"{1,2,3,4,5,6,7,8,9,11,12}","{4,5,6,7,8,9,11,12}",8,6,3,8,0,0,1,4,3,3,0,1,True,"{12}@{2,11}:base-clique;{12}@{2,11}:cone;{9}@{2,7}:base-clique;{9}@{2,7}:cone;{5}@{1,4}:base-clique;{5}@{1,4}:cone",,8,1,3,0,True,True,True
ddgp-p5-n12-0017,ddgp,2,12,5,2-11;3-4;3-8;7-9;7-12,"{1,2,3,4,5,6,7,8,9,11,12}","{4,5,6,7,8,9,11,12}",8,8,4,16,0,0,1,5,4,4,0,1,True,"{12}@{1,9}:base-clique;{12}@{1,9}:cone;{11}@{3,9}:base-clique;{11}@{3,9}:cone;{8}@{2,6}:base-clique;{8}@{2,6}:cone;{7}@{3,5}:base-clique;{7}@{3,5}:cone",,16,1,4,0,True,True,True
ddgp-p5-n12-0018,ddgp,2,12,5,1-7;1-8;4-6;6-9;6-12,"{1,2,3,4,5,6,7,8,9,10,12}","{4,5,6,7,8,9,10,12}",8,5,3,8,0,0,1,5,3,3,0,1,True,"{12}@{8,10}:base-clique;{12}@{8,10}:cone;{10,12}@{8,9}:base-clique;{10,12}@{8,9}:cone;{6}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-p5-n12-0019,ddgp,2,12,5,1-4;1-12;4-10;7-9;7-11,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,7,4,16,0,0,1,5,4,4,0,1,True,"{12}@{2,9}:base-clique;{12}@{2,9}:cone;{11}@{4,5}:base-clique;{11}@{4,5}:cone;{10}@{5,8}:base-clique;{10}@{5,8}:cone;{7}@{2,5}:cone",,16,1,4,0,True,True,True
ddgp-p5-n12-0020,ddgp,2,12,5,1-11;2-8;3-7;6-11;10-12,"{1,2,3,4,5,6,7,8,10,11,12}","{4,5,6,7,8,10,11,12}",8,10,5,32,0,0,1,6,5,5,0,1,True,"{12}@{2,6}:base-clique;{12}@{2,6}:cone;{11}@{2,5}:base-clique;{11}@{2,5}:cone;{10}@{1,5}:base-clique;{10}@{1,5}:cone;{8}@{1,6}:base-clique;{8}@{1,6}:cone;{7}@{4,6}:base-clique;{7}@{4,6}:cone",,32,1,5,0,True,True,True
ddgp-p5-n12-0021,ddgp,2,12,5,1-6;1-7;3-6;7-10;9-10,"{1,2,3,4,5,6,7,9,10}","{4,5,6,7,9,10}",6,8,4,16,0,0,1,7,4,4,0,1,True,"{10}@{4,5}:base-clique;{10}@{4,5}:cone;{9}@{1,4}:base-clique;{9}@{1,4}:cone;{7}@{2,5}:base-clique;{7}@{2,5}:cone;{6}@{2,4}:base-clique;{6}@{2,4}:cone",,16,1,4,0,True,True,True
ddgp-p5-n12-0022,ddgp,2,12,5,2-10;4-10;7-8;8-11;10-11,"{1,2,3,4,5,6,7,8,9,10,11}","{4,5,6,7,8,9,10,11}",8,6,3,8,0,0,1,7,3,3,0,1,True,"{11}@{3,9}:base-clique;{11}@{3,9}:cone;{10}@{1,6}:base-clique;{10}@{1,6}:cone;{8}@{2,4}:base-clique;{8}@{2,4}:cone",,8,1,3,0,True,True,True
ddgp-p5-n12-0023,ddgp,2,12,5,1-10;3-5;4-6;6-12;7-8,"{1,2,3,4,5,6,7,8,10,12}","{4,5,6,7,8,10,12}",7,6,3,8,0,0,1,4,3,3,0,1,True,"{12}@{4,8}:base-clique;{12}@{4,8}:cone;{10}@{6,7}:base-clique;{10}@{6,7}:cone;{8,12}@{4,5}:base-clique;{8,12}@{4,5}:cone",,8,1,3,0,True,True,True
ddgp-p5-n12-0024,ddgp,2,12,5,1-12;3-12;5-7;7-9;9-12,"{1,2,3,4,5,7,8,9,11,12}","{4,5,7,8,9,11,12}",7,4,2,4,0,0,1,5,2,2,0,1,True,"{12}@{2,11}:base-clique;{12}@{2,11}:cone;{7}@{1,3}:base-clique;{7}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-p5-n12-0025,ddgp,2,12,5,1-12;2-4;2-11;3-8;6-12,"{1,2,3,4,5,6,7,8,11,12}","{4,5,6,7,8,11,12}",7,4,2,4,0,0,1,3,2,2,0,1,True,"{12}@{3,7}:base-clique;{12}@{3,7}:cone;{11}@{5,8}:base-clique;{11}@{5,8}:cone",,4,1,2,0,True,True,True
